TEAM_ID,TEAM_CITY,TEAM_NAME,TEAM_ABBREVIATION,TEAM_CODE
1610612752,New York,Knicks,NYK,knicks
1610612763,Memphis,Grizzlies,MEM,grizzlies
1610612760,Oklahoma City,Thunder,OKC,thunder
1610612757,Portland,Trail Blazers,POR,blazers
1610612740,New Orleans,Pelicans,NOP,pelicans
1610612755,Philadelphia,76ers,PHI,sixers
1610612754,Indiana,Pacers,IND,pacers
1610612742,Dallas,Mavericks,DAL,mavericks
1610612748,Miami,Heat,MIA,heat
1610612751,Brooklyn,Nets,BKN,nets
1610612759,San Antonio,Spurs,SAS,spurs
1610612749,Milwaukee,Bucks,MIL,bucks
1610612765,Detroit,Pistons,DET,pistons
1610612737,Atlanta,Hawks,ATL,hawks
1610612745,Houston,Rockets,HOU,rockets
1610612743,Denver,Nuggets,DEN,nuggets
1610612738,Boston,Celtics,BOS,celtics
1610612741,Chicago,Bulls,CHI,bulls
1610612744,Golden State,Warriors,GSW,warriors
1610612746,Los Angeles,Clippers,LAC,clippers
1610612756,Phoenix,Suns,PHX,suns
1610612764,Washington,Wizards,WAS,wizards
1610612750,Minnesota,Timberwolves,MIN,timberwolves
1610612766,Charlotte,Hornets,CHA,hornets
1610612747,Los Angeles,Lakers,LAL,lakers
1610612762,Utah,Jazz,UTA,jazz
1610612761,Toronto,Raptors,TOR,raptors
1610612758,Sacramento,Kings,SAC,kings
1610612753,Orlando,Magic,ORL,magic
1610612739,Cleveland,Cavaliers,CLE,cavaliers
